stock_code,summary_date,close_price,post_count,author_count,bullish_count,bearish_count,unknown_count,bullish_ratio,bearish_ratio,unknown_ratio,buy_intent_count,sell_intent_count,neutral_intent_count,unset_intent_count,sma20,sma60,sma120,sma200,rsi14,atr14,bottom_phase,trend_status,bottom_count,bottom_signal
6753,2026-09-01,673.3,7,3,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0,0,0,7,,,,,,,,未判定,0,
6753,2026-09-02,636.2,27,13,4,5,18,0.14814814814814814,0.18518518518518517,0.6666666666666666,0,0,0,27,,,,,,,,未判定,0,
6753,2026-09-03,641.5,21,10,4,3,14,0.19047619047619047,0.14285714285714285,0.6666666666666666,0,0,0,21,,,,,,,,未判定,0,
6753,2026-09-04,644.7,15,7,3,0,12,0.2,0.0,0.8,0,0,0,15,,,,,,,,未判定,0,
6753,2026-09-05,,5,2,0,1,4,0.0,0.2,0.8,0,0,0,5,,,,,,,,未判定,0,
6753,2026-09-06,,8,4,1,0,7,0.125,0.0,0.875,0,0,0,8,,,,,,,,未判定,0,
6753,2026-09-07,637.4,21,10,6,2,13,0.2857142857142857,0.09523809523809523,0.6190476190476191,0,0,0,21,,,,,,,,未判定,0,
6753,2026-09-08,625.5,18,9,1,4,13,0.05555555555555555,0.2222222222222222,0.7222222222222222,0,0,0,18,,,,,,,,未判定,0,
6753,2026-09-09,629.6,16,8,1,4,11,0.0625,0.25,0.6875,0,0,0,16,,,,,,,,未判定,0,
6753,2026-09-10,669.2,49,24,6,3,40,0.12244897959183673,0.061224489795918366,0.8163265306122449,0,0,0,49,,,,,,,,未判定,0,
6753,2026-09-11,678.0,51,25,7,6,38,0.13725490196078433,0.11764705882352941,0.7450980392156863,0,0,0,51,,,,,,,,未判定,0,
6753,2026-09-12,,8,4,1,2,5,0.125,0.25,0.625,0,0,0,8,,,,,,,,未判定,0,
6753,2026-09-13,,5,2,2,0,3,0.4,0.0,0.6,0,0,0,5,,,,,,,,未判定,0,
6753,2026-09-14,688.5,38,19,5,5,28,0.13157894736842105,0.13157894736842105,0.7368421052631579,0,0,0,38,,,,,,,,未判定,0,
6753,2026-09-15,670.8,73,36,14,9,50,0.1917808219178082,0.1232876712328767,0.684931506849315,0,0,0,73,,,,,,,,未判定,0,
6753,2026-09-16,677.9,65,32,13,9,43,0.2,0.13846153846153847,0.6615384615384615,0,0,0,65,,,,,,,,未判定,0,
6753,2026-09-17,676.4,28,14,5,3,20,0.17857142857142858,0.10714285714285714,0.7142857142857143,2,0,0,26,,,,,,,,未判定,0,
6753,2026-09-18,648.8,42,21,5,8,29,0.11904761904761904,0.19047619047619047,0.6904761904761905,2,0,0,40,,,,,,,,未判定,0,
